satir,durum,skor,eski_sure,eski_ayet_no,yeni_sure,yeni_ayet_no,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
76,dogru,1.0,Fussilet,34,Fussilet,34,4,"Fussilet, 41/34.",07.03.2025,07.03.2025 İYİLİK AYI RAMAZAN,metinler,baslik_eslesti,İyilikle kötülük bir olmaz. Sen kötülüğü iyilikle önle. O zaman göreceksin ki seninle arasında düşmanlık bulunan kimse samimi bir dost oluvermiş!
77,dogru,1.0,Haşr,10,Haşr,10,5,Haşr 59/10.,10.01.2014,10.01.2014 MEVLİD-İ NEBİ,metinler,baslik_eslesti,"Rabbimiz! Bizi ve bizden önce iman etmiş olan kardeşlerimizi bağışla. Kalplerimizde, iman edenlere karşı hiçbir kin tutturma! Rabbimiz! Şüphesiz sen çok esirgeyicisin, çok merhametlisin."
78,dogru,1.0,Haşr,10,Haşr,10,7,Haşr 59/10.,10.10.2014,10.10.2014 BİZ KARDEŞİZ,metinler,baslik_eslesti,"Rabbimiz! Bizi ve bizden önce iman etmiş olan kardeşlerimizi bağışla. Kalplerimizde, iman edenlere karşı hiçbir kin tutturma! Rabbimiz! Şüphesiz sen çok esirgeyicisin, çok merhametlisin."
79,dogru,1.0,Haşr,10,Haşr,10,3,"Haşr, 59/10.",16.10.2015,16.10.2015 MERHAMET İKSİRİNİ YUDUMLAYABİLMEK,metinler,baslik_eslesti,"… Rabbimiz! Bizi ve bizden önceki iman etmiş kardeşlerimizi bağışla; kalplerimizde iman edenlere karşı kötü bir düşünce ve duyguya yer bırakma. Rabbimiz! Kuşkusuz sen çok şefkatlisin, çok merhametlisin."
80,dogru,1.0,Haşr,10,Haşr,10,5,"Haşr, 59/10.",23.07.2021,23.07.2021 MÜSLÜMAN’IN MÜSLÜMAN ÜZERİNDEKİ HAKLARI,metinler,baslik_eslesti,"Rabbimiz, bizi ve bizden önceki iman etmiş kardeşlerimizi bağışla. Kalplerimizde iman edenlere karşı hiçbir kin tutturma. Şüphesiz sen çok şefkatlisin, çok merhametlisin."
81,dogru,1.0,Kehf,46,Kehf,46,2,"Kehf, 18/46.",20.04.2018,20.04.2018 YARINLARIMIZIN ÜMİDİ ÇOCUKLARIMIZ,metinler,baslik_eslesti,dünya hayatının süsü
82,dogru,1.0,Kehf,46,Kehf,46,1,"Kehf, 18/46.",30.10.2020,30.10.2020 PEYGAMBERİMİZ VE ÇOCUK,metinler,baslik_eslesti,"Servet ve evlatlar, dünya hayatının süsüdür. Baki kalacak salih ameller ise, Rabbinin nezdinde hem sevapça daha hayırlı hem de ümit bağlamaya daha lâyıktır."
83,dogru,1.0,Kehf,46,Kehf,46,3,"Kehf, 18/46.",14.05.2021,14.05.2021 VAKIF: ŞEFKAT VE MERHAMET MEDENİYETİ,metinler,baslik_eslesti,"Ölümsüz olan iyi işler, Rabbinin nezdinde hem sevapça daha hayırlı, hem de ümit bağlamaya daha lâyıktır."
84,dogru,1.0,Kehf,46,Kehf,46,1,"Kehf, 18/46.",20.06.2025,"20.06.2025 HER YAZ YENİ BİR HEYECAN: CAMİ, ÇOCUK VE",metinler,baslik_eslesti,dünya hayatının süsü
85,dogru,1.0,Mülk,2,Mülk,2,1,"Mülk, 67/2.",25.12.2015,25.12.2015 SAYILI NEFESLERİMİZİ TÜKETİRKEN…,metinler,baslik_eslesti,"Allah, hanginizin daha güzel işler yapacağını sınamak için ölümü ve hayatı yaratandır. O, güçlüdür, bağışlayandır."
86,dogru,1.0,Mülk,2,Mülk,2,1,"Mülk, 67/2.",29.12.2017,29.12.2017 EŞSİZ SERMAYEMİZ: ÖMÜR,metinler,baslik_eslesti,"Allah, hanginizin daha iyi amel işlediğini ortaya koymak amacıyla sizi imtihan etmek için ölümü ve hayatı yaratandır. O, mutlak güç sahibidir, çok bağışlayandır."
