hafta_id,tarih,dini_gun,siyasi_olay,kriz_olayi,olay_notu
2022-1410,14.10.2022,,,,
2022-2110,21.10.2022,,,,
2022-2810,28.10.2022,,,,
2022-0411,04.11.2022,,,,
2022-1111,11.11.2022,,,,
2022-1811,18.11.2022,,,,
2022-2511,25.11.2022,,,,
2022-0212,02.12.2022,,,,
2022-0912,09.12.2022,,,,
2022-1612,16.12.2022,,,,
2022-2312,23.12.2022,,,,
2022-3012,30.12.2022,,,,
2023-0601,06.01.2023,,,,
2023-1301,13.01.2023,,,,
2023-2001,20.01.2023,Regaib Kandili,,,
2023-2701,27.01.2023,Regaib Kandili,,,
2023-0302,03.02.2023,,,,
2023-1002,10.02.2023,,,6 Şubat Kahramanmaraş depremleri,
2023-1702,17.02.2023,Miraç Kandili,,6 Şubat Kahramanmaraş depremleri,
2023-2402,24.02.2023,,,6 Şubat Kahramanmaraş depremleri,
2023-0303,03.03.2023,Berat Kandili,,6 Şubat Kahramanmaraş depremleri,Berat Kandili tarihi yaklaşık (±1 gün)
2023-1003,10.03.2023,Berat Kandili,,6 Şubat Kahramanmaraş depremleri,Berat Kandili tarihi yaklaşık (±1 gün)
2023-1703,17.03.2023,Ramazan başlangıcı,,6 Şubat Kahramanmaraş depremleri,
2023-2403,24.03.2023,Ramazan başlangıcı,,6 Şubat Kahramanmaraş depremleri,
2023-3103,31.03.2023,Ramazan içi,,6 Şubat Kahramanmaraş depremleri,
2023-0704,07.04.2023,Ramazan içi,,6 Şubat Kahramanmaraş depremleri,
2023-1404,14.04.2023,Kadir Gecesi,,6 Şubat Kahramanmaraş depremleri,
2023-2104,21.04.2023,Kadir Gecesi; Ramazan Bayramı,,6 Şubat Kahramanmaraş depremleri,
2023-2804,28.04.2023,,,6 Şubat Kahramanmaraş depremleri,
